universe_id,target,logm_mean,logm_std,logm_min,logm_max,logm_median,x_std,y_std,z_std,position_spread,vx_mean,vy_mean,vz_mean,vx_std,vy_std,vz_std,velocity_spread,velocity_norm_mean,velocity_norm_std
LH_343,0.24699999392032623,0.20650712,0.18254404,0.0,1.0,0.14428785,0.3090542,0.32370895,0.28927535,0.30734617,0.5374135,0.71498084,0.6268126,0.12659828,0.13114618,0.10662044,0.121454954,1.1065419,0.114298165
LH_344,0.38100001215934753,0.23221445,0.24524559,0.0,1.0,0.14184451,0.2280147,0.2756208,0.2978356,0.26715705,0.5855707,0.47077054,0.4890321,0.19839032,0.18975866,0.17573303,0.18796067,0.9397629,0.16360079
LH_345,0.3393999934196472,0.23065034,0.21792379,0.0,1.0,0.17034423,0.31261685,0.27991724,0.23418468,0.27557293,0.41887975,0.4253312,0.53525233,0.13691476,0.13062932,0.16598627,0.14451014,0.82540923,0.15786855
LH_346,0.33379998803138733,0.25431302,0.22031724,0.0,1.0,0.2086243,0.23751815,0.28537807,0.38666764,0.30318797,0.52126443,0.60265195,0.52716285,0.22583808,0.17769651,0.19537596,0.19963686,0.996248,0.20260118
LH_347,0.1889999955892563,0.20382255,0.19614775,0.0,1.0,0.16490832,0.28763008,0.3309905,0.25363636,0.29075232,0.44511178,0.6358219,0.3706126,0.18965362,0.17850532,0.11701683,0.16172527,0.8887574,0.1771542
LH_348,0.3222000002861023,0.23878893,0.24517992,0.0,1.0,0.13622746,0.3206962,0.30113193,0.24531168,0.28904662,0.5747205,0.7301737,0.5495153,0.14947209,0.14735101,0.1907351,0.1625194,1.1065286,0.14646707
LH_349,0.42100000381469727,0.20703521,0.19355582,0.0,1.0,0.14722416,0.2574095,0.2714282,0.32386646,0.28423473,0.42570415,0.59181404,0.493587,0.17874333,0.16229597,0.19767427,0.1795712,0.9140014,0.1925144
LH_350,0.49380001425743103,0.21393387,0.1992927,0.0,1.0,0.17158985,0.22294928,0.28397086,0.33277705,0.2798991,0.4446973,0.45857957,0.41537595,0.17068005,0.18333718,0.17171985,0.17524569,0.80003846,0.18099341
LH_351,0.4505999982357025,0.24460082,0.23037541,0.0,1.0,0.1853345,0.2361259,0.24053116,0.2906786,0.25577855,0.44949338,0.52737474,0.5950499,0.19389609,0.13857196,0.12577946,0.15274917,0.94123673,0.1447214
LH_352,0.35100001096725464,0.27876493,0.22375181,0.0,1.0,0.22918937,0.25220403,0.2588089,0.29766226,0.26955843,0.44555992,0.5588274,0.48989525,0.19636783,0.13372305,0.17513454,0.16840847,0.89809936,0.17703402
LH_353,0.3458000123500824,0.22146006,0.2093097,0.0,1.0,0.16636753,0.29690012,0.31036612,0.26586604,0.29104412,0.57181394,0.54603934,0.43763512,0.13481008,0.1344953,0.17084189,0.14671576,0.92889106,0.13880166
LH_354,0.40059998631477356,0.20801033,0.19944434,0.0,1.0,0.14293343,0.2510099,0.27219707,0.24064352,0.25461683,0.6064073,0.69831306,0.55003834,0.16008411,0.14563787,0.15315822,0.15296006,1.0964355,0.16136096
LH_355,0.15620000660419464,0.29942155,0.22760382,0.0,1.0,0.25062057,0.31393778,0.27841207,0.2944541,0.29560134,0.39571637,0.41643304,0.35052672,0.21406227,0.14684996,0.14848602,0.1697994,0.71235776,0.18670544
LH_356,0.15299999713897705,0.23634572,0.22058164,0.0,1.0,0.17312233,0.3252231,0.27080753,0.31580555,0.30394542,0.530895,0.4245253,0.524102,0.1948631,0.17784461,0.22373733,0.198815,0.90047103,0.21345906
LH_357,0.3970000147819519,0.27731866,0.23844801,0.0,1.0,0.23036875,0.340972,0.2710038,0.27673185,0.29623592,0.5195678,0.62178105,0.5642634,0.19725095,0.17520933,0.16841586,0.18029206,1.021836,0.1696373
LH_358,0.20980000495910645,0.22979914,0.21862957,0.0,1.0,0.15402362,0.32431304,0.32492155,0.2904487,0.31322774,0.4580442,0.5546607,0.58284736,0.15252806,0.1611576,0.14608519,0.15325695,0.9515674,0.14920038
LH_359,0.24500000476837158,0.19529527,0.20801018,0.0,1.0,0.12804559,0.26519206,0.2815334,0.30145174,0.28272575,0.49987885,0.58867776,0.5653894,0.1466198,0.19719614,0.17558677,0.17313422,0.98955965,0.16754575
LH_360,0.12860000133514404,0.21358006,0.20554316,0.0,1.0,0.14279172,0.18735005,0.2625262,0.2956793,0.24851851,0.5689543,0.46892807,0.7050395,0.20165448,0.1959313,0.15458682,0.18405755,1.055614,0.17121121
LH_361,0.46540001034736633,0.19116837,0.1988297,0.0,1.0,0.12053612,0.34850827,0.31302378,0.32123813,0.32759002,0.56573236,0.41843963,0.58504826,0.1588001,0.15378392,0.12681115,0.14646505,0.9384296,0.14739141
