model,k,seed,target,prediction,residual,plotted_y,test_mae,test_rmse,test_r2,test_pearson
Static GCN,4,123,0.3529999852180481,0.29568028450012207,-0.057319700717926025,-0.057319700717926025,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.15060000121593475,0.28368228673934937,0.1330822855234146,0.1330822855234146,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.10859999805688858,0.3008320927619934,0.19223209470510483,0.19223209470510483,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.4625999927520752,0.283621609210968,-0.17897838354110718,-0.17897838354110718,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.2754000127315521,0.3008320927619934,0.025432080030441284,0.025432080030441284,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.19419999420642853,0.3008320927619934,0.10663209855556488,0.10663209855556488,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.40779998898506165,0.3008320927619934,-0.10696789622306824,-0.10696789622306824,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.11940000206232071,0.29520678520202637,0.17580678313970566,0.17580678313970566,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.38499999046325684,0.3008320927619934,-0.08416789770126343,-0.08416789770126343,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.16699999570846558,0.3008320927619934,0.13383209705352783,0.13383209705352783,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.27619999647140503,0.3008320927619934,0.02463209629058838,0.02463209629058838,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.4578000009059906,0.3008320927619934,-0.1569679081439972,-0.1569679081439972,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.4941999912261963,0.3008320927619934,-0.19336789846420288,-0.19336789846420288,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.24379999935626984,0.2844786047935486,0.04067860543727875,0.04067860543727875,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.10700000077486038,0.3008320927619934,0.19383209198713303,0.19383209198713303,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.18979999423027039,0.3008320927619934,0.11103209853172302,0.11103209853172302,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.2978000044822693,0.3008320927619934,0.003032088279724121,0.003032088279724121,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.35339999198913574,0.3008320927619934,-0.052567899227142334,-0.052567899227142334,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.10899999737739563,0.30077266693115234,0.1917726695537567,0.1917726695537567,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.16019999980926514,0.3008320927619934,0.14063209295272827,0.14063209295272827,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.29019999504089355,0.2855919301509857,-0.004608064889907837,-0.004608064889907837,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.17739999294281006,0.3008320927619934,0.12343209981918335,0.12343209981918335,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.2101999968290329,0.3008320927619934,0.09063209593296051,0.09063209593296051,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.26339998841285706,0.2920840382575989,0.02868404984474182,0.02868404984474182,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.4189999997615814,0.3008320927619934,-0.11816790699958801,-0.11816790699958801,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.1738000065088272,0.3008320927619934,0.1270320862531662,0.1270320862531662,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.4138000011444092,0.29688507318496704,-0.11691492795944214,-0.11691492795944214,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.11500000208616257,0.2813897728919983,0.16638977080583572,0.16638977080583572,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.3693999946117401,0.3008320927619934,-0.0685679018497467,-0.0685679018497467,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.10419999808073044,0.3008320927619934,0.19663209468126297,0.19663209468126297,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.23980000615119934,0.3008320927619934,0.06103208661079407,0.06103208661079407,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.272599995136261,0.28640639781951904,0.013806402683258057,0.013806402683258057,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.38420000672340393,0.2835836708545685,-0.10061633586883545,-0.10061633586883545,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.4569999873638153,0.3008320927619934,-0.1561678946018219,-0.1561678946018219,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.41620001196861267,0.28359347581863403,-0.13260653614997864,-0.13260653614997864,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.2770000100135803,0.3008320927619934,0.023832082748413086,0.023832082748413086,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.3578000068664551,0.28283441066741943,-0.07496559619903564,-0.07496559619903564,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.4406000077724457,0.28744056820869446,-0.15315943956375122,-0.15315943956375122,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.3418000042438507,0.3008320927619934,-0.0409679114818573,-0.0409679114818573,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
