model,k,seed,split_signature,h32_experiment_name,h64_experiment_name,mae_h64_minus_h32,rmse_h64_minus_h32,r2_h64_minus_h32
Static GCN,4,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,static_gcn_u500_top100_norm-minmax_k4_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed123,static_gcn_500u_k4_seed123,0.0005231638749440548,0.0005669873589154162,-0.009992396658930591
Static GCN,4,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,static_gcn_u500_top100_norm-minmax_k4_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed2025,static_gcn_500u_k4_seed2025,0.0038338367144266777,0.005297431287998297,-0.09122389231432826
Static GCN,6,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,static_gcn_u500_top100_norm-minmax_k6_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,static_gcn_500u_k6_seed42,0.00047176043192545536,-0.00010054728301980842,0.001997816886771586
Static GCN,6,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,static_gcn_u500_top100_norm-minmax_k6_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed123,static_gcn_500u_k6_seed123,0.0019846041997273745,0.0010487501744607108,-0.018392935303353064
Static GCN,6,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,static_gcn_u500_top100_norm-minmax_k6_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed2025,static_gcn_500u_k6_seed2025,0.0025483095645904563,0.002178455005351604,-0.03679908911165941
Static GCN,8,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,static_gcn_u500_top100_norm-minmax_k8_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,static_gcn_500u_k8_h64_seed42,-0.0008268356323242188,-0.0010831925704776063,0.02158118274222942
Static GCN,8,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,static_gcn_u500_top100_norm-minmax_k8_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed123,static_gcn_500u_k8_h64_seed123,0.00015785495440165387,0.0006566722608922632,-0.011584388707703841
Static GCN,8,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,static_gcn_u500_top100_norm-minmax_k8_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed2025,static_gcn_500u_k8_h64_seed2025,0.0007657353083292684,0.0012246457701323432,-0.020753391767997398
Static GCN,12,42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,static_gcn_u500_top100_norm-minmax_k12_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,static_gcn_500u_k12_seed42,0.0008700994650522875,0.0012458444423397441,-0.02460242514846689
Static GCN,12,123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,static_gcn_u500_top100_norm-minmax_k12_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed123,static_gcn_500u_k12_seed123,0.0007492832342783501,9.588999413111254e-05,-0.001689238298169915
Static GCN,12,2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,static_gcn_u500_top100_norm-minmax_k12_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed2025,static_gcn_500u_k12_seed2025,0.0043440735340118525,0.0033050166850542434,-0.05658708205458862
