universe_id,target,logm_mean,logm_std,logm_min,logm_max,logm_median,x_std,y_std,z_std,position_spread,vx_mean,vy_mean,vz_mean,vx_std,vy_std,vz_std,velocity_spread,velocity_norm_mean,velocity_norm_std
LH_94,0.28220000863075256,5.400181e-07,1.0,-1.0046014,4.3933063,-0.27560386,1.0,0.99999994,0.9999999,1.0,1.5944243e-08,-7.152557e-09,4.172325e-09,1.0,1.0,0.9999999,0.99999994,1.437993,0.96549284
LH_95,0.17059999704360962,-6.2227247e-07,0.9999999,-1.1257341,2.804963,-0.48862398,0.99999994,1.0,1.0,1.0,1.4305114e-08,-1.1324882e-08,2.9802322e-10,1.0,1.0,1.0,1.0,1.4857986,0.89017004
LH_96,0.35899999737739563,-2.503395e-08,1.0,-0.98946786,3.1187632,-0.36150223,1.0,0.99999994,1.0,1.0,-9.536743e-09,1.9073486e-08,-3.5762786e-09,1.0,0.99999994,0.9999999,1.0,1.5286636,0.8143628
LH_97,0.46860000491142273,-2.7298927e-07,1.0,-1.1439823,3.0782433,-0.32317445,1.0000001,0.99999994,1.0000001,1.0,1.4305114e-08,7.152557e-09,-1.1324882e-08,0.99999994,0.9999999,1.0,0.99999994,1.5214396,0.8277812
LH_98,0.31299999356269836,1.7988682e-06,1.0,-1.1363902,3.3211312,-0.29847378,1.0,1.0,0.9999999,1.0,-3.8146972e-08,3.5762786e-09,-1.8328429e-08,1.0,0.99999994,1.0,1.0,1.4802023,0.8994448
LH_99,0.2013999968767166,4.8279765e-07,1.0,-1.0016557,4.214828,-0.28360522,1.0,0.99999994,0.99999994,1.0,-4.7683715e-09,-1.1920929e-09,3.5762786e-09,1.0,1.0,1.0,1.0,1.4746379,0.90853864
LH_100,0.3386000096797943,1.7893315e-06,1.0,-0.97368056,4.013817,-0.31544533,0.99999994,0.9999999,0.99999994,1.0,-9.536743e-09,1.1622905e-08,-3.039837e-08,1.0,1.0,0.99999994,1.0,1.514084,0.84115976
LH_101,0.2574000060558319,-7.1167947e-06,0.99999994,-1.0607369,3.5595827,-0.2411545,1.0,1.0,1.0,0.99999994,5.3644182e-09,1.7881394e-08,-1.9669534e-08,1.0,0.9999999,1.0,0.9999998,1.579811,0.71006894
LH_102,0.14980000257492065,-2.3674966e-06,0.99999994,-1.2305001,3.3947966,-0.28954595,1.0,1.0,0.9999999,0.99999994,-1.66893e-08,6.2584875e-09,1.1920929e-09,0.99999994,0.99999994,0.99999994,0.99999994,1.5361435,0.80016446
LH_103,0.16779999434947968,-5.093813e-06,1.0,-1.2181758,2.9686246,-0.3459289,0.9999999,0.99999994,0.99999994,0.99999994,-4.9173834e-09,5.3644182e-09,-2.7418137e-08,1.0,0.99999994,1.0,1.0,1.5603912,0.7517842
