canonical_experiment_id,experiment_name,model,training_universe_count,seed,status,validation_result,configuration_path,experiment_directory,split_manifest_path,split_manifest_sha256,dataset_sha256,repository_commit,matrix_included,invalid_reason
u1000-top1000-sparse-static-train700-seed123,static_gcn_u1000_top1000_sparse_train700_seed123_none_h32_l3_mean_mlp_final,StaticGCNRegressor,700,123,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train700_seed123_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train700_seed123_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed123_train700.json,2e2d1043dd2c0517ab0084a0d31f09f3af7875a8bcb341c4a7362c6c419e04c4,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train20-seed2025,evolvegcn_h_u1000_top1000_sparse_train20_seed2025_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,20,2025,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train20_seed2025_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train20_seed2025_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed2025_train20.json,8c7fee604e94ffc7f28b1585693e4e924a0ded6d34130e3df7aba28902745012,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train20-seed2025,static_gcn_u1000_top1000_sparse_train20_seed2025_none_h32_l3_mean_mlp_final,StaticGCNRegressor,20,2025,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train20_seed2025_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train20_seed2025_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed2025_train20.json,8c7fee604e94ffc7f28b1585693e4e924a0ded6d34130e3df7aba28902745012,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train50-seed2025,evolvegcn_h_u1000_top1000_sparse_train50_seed2025_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,50,2025,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train50_seed2025_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train50_seed2025_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed2025_train50.json,aaa6a4be839bc5eebf1a90cfd5ac7d25d6d9b124a2f7d3bc0f71a74092a01e0c,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train50-seed2025,static_gcn_u1000_top1000_sparse_train50_seed2025_none_h32_l3_mean_mlp_final,StaticGCNRegressor,50,2025,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train50_seed2025_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train50_seed2025_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed2025_train50.json,aaa6a4be839bc5eebf1a90cfd5ac7d25d6d9b124a2f7d3bc0f71a74092a01e0c,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train100-seed2025,evolvegcn_h_u1000_top1000_sparse_train100_seed2025_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,100,2025,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train100_seed2025_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train100_seed2025_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed2025_train100.json,f33a74626b5e3cc70e235a9a28e8862443b27c4cc17424781ff30bcc4553666d,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train100-seed2025,static_gcn_u1000_top1000_sparse_train100_seed2025_none_h32_l3_mean_mlp_final,StaticGCNRegressor,100,2025,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train100_seed2025_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train100_seed2025_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed2025_train100.json,f33a74626b5e3cc70e235a9a28e8862443b27c4cc17424781ff30bcc4553666d,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train200-seed2025,evolvegcn_h_u1000_top1000_sparse_train200_seed2025_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,200,2025,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train200_seed2025_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train200_seed2025_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed2025_train200.json,1f62224562eb0d0c723af2599241236523e79140e3125fc0d09fff6a81d3851c,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train200-seed2025,static_gcn_u1000_top1000_sparse_train200_seed2025_none_h32_l3_mean_mlp_final,StaticGCNRegressor,200,2025,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train200_seed2025_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train200_seed2025_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed2025_train200.json,1f62224562eb0d0c723af2599241236523e79140e3125fc0d09fff6a81d3851c,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train450-seed2025,evolvegcn_h_u1000_top1000_sparse_train450_seed2025_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,450,2025,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train450_seed2025_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train450_seed2025_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed2025_train450.json,ae0ccd09f29d0dff7da0b07ea0acb14d177c1530dcef3c19ab4ed23225178303,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train450-seed2025,static_gcn_u1000_top1000_sparse_train450_seed2025_none_h32_l3_mean_mlp_final,StaticGCNRegressor,450,2025,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train450_seed2025_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train450_seed2025_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed2025_train450.json,ae0ccd09f29d0dff7da0b07ea0acb14d177c1530dcef3c19ab4ed23225178303,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-evolve-train700-seed2025,evolvegcn_h_u1000_top1000_sparse_train700_seed2025_none_h32_l2_mean_temporal_mean_linear,EvolveGCNHRegressor,700,2025,completed,PASS,configs/production/u1000_top1000_training_scaling/evolvegcn_h_u1000_top1000_sparse_train700_seed2025_none_h32_l2_mean_temporal_mean_linear.json,experiments/evolvegcn_h_u1000_top1000_sparse_train700_seed2025_none_h32_l2_mean_temporal_mean_linear,configs/splits/u1000_top1000_none_k8_sparse/seed2025_train700.json,e80a9ce994257b2ce818c10e452d4d4a0ba3ec7cacc80cc199480677e38f4c72,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
u1000-top1000-sparse-static-train700-seed2025,static_gcn_u1000_top1000_sparse_train700_seed2025_none_h32_l3_mean_mlp_final,StaticGCNRegressor,700,2025,completed,PASS,configs/production/u1000_top1000_training_scaling/static_gcn_u1000_top1000_sparse_train700_seed2025_none_h32_l3_mean_mlp_final.json,experiments/static_gcn_u1000_top1000_sparse_train700_seed2025_none_h32_l3_mean_mlp_final,configs/splits/u1000_top1000_none_k8_sparse/seed2025_train700.json,e80a9ce994257b2ce818c10e452d4d4a0ba3ec7cacc80cc199480677e38f4c72,6a794c38216175212ec969283fdbd214bcdc64caecde78d24b81545e681a332a,c87f65b70b29d56adef82664d2525ea2ec7e194b,True,
invalid-excluded-evolve-train700-seed42-20260805t235518z,failed_invalid_config_evolvegcn_h_u1000_train700_seed42_20260805T235518Z,EvolveGCNHRegressor,700,42,invalid,,,experiments/failed_invalid_config_evolvegcn_h_u1000_train700_seed42_20260805T235518Z,,,,,False,preserved failed invalid configuration attempt
