universe_id,universe_index,snapshot,path,exists,duplicate_count,total_rows,finite_mvir_rows,positive_mvir_rows,valid_builder_rows,omega_m,target_finite,top1000_feasible_without_padding,top1000_padding,top1000_padding_fraction,top1500_feasible_without_padding,top1500_padding,top1500_padding_fraction,top2000_feasible_without_padding,top2000_padding,top2000_padding_fraction
LH_10,10,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_0.20000.list,True,0,2838,2838,2838,2838,0.1602,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_10,10,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_0.25000.list,True,0,4195,4195,4195,4195,0.1602,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_10,10,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_0.51209.list,True,0,6131,6131,6131,6131,0.1602,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_10,10,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_0.75065.list,True,0,5996,5996,5996,5996,0.1602,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_10,10,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_1.00000.list,True,0,6316,6316,6316,6316,0.1602,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_11,11,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_0.20000.list,True,0,7579,7579,7579,7579,0.4754,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_11,11,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_0.25000.list,True,0,8614,8614,8614,8614,0.4754,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_11,11,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_0.51209.list,True,0,8190,8190,8190,8190,0.4754,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_11,11,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_0.75065.list,True,0,7004,7004,7004,7004,0.4754,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_11,11,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_1.00000.list,True,0,6553,6553,6553,6553,0.4754,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_12,12,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_0.20000.list,True,0,2268,2268,2268,2268,0.2914,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_12,12,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_0.25000.list,True,0,4041,4041,4041,4041,0.2914,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_12,12,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_0.51209.list,True,0,7578,7578,7578,7578,0.2914,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_12,12,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_0.75065.list,True,0,7320,7320,7320,7320,0.2914,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_12,12,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_1.00000.list,True,0,7525,7525,7525,7525,0.2914,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_13,13,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_13_hlist_0.20000.list,True,0,2803,2803,2803,2803,0.269,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_13,13,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_13_hlist_0.25000.list,True,0,4443,4443,4443,4443,0.269,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_13,13,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_13_hlist_0.51209.list,True,0,7251,7251,7251,7251,0.269,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_13,13,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_13_hlist_0.75065.list,True,0,6963,6963,6963,6963,0.269,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_13,13,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_13_hlist_1.00000.list,True,0,7337,7337,7337,7337,0.269,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_14,14,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_14_hlist_0.20000.list,True,0,5671,5671,5671,5671,0.3946,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_14,14,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_14_hlist_0.25000.list,True,0,6962,6962,6962,6962,0.3946,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_14,14,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_14_hlist_0.51209.list,True,0,7975,7975,7975,7975,0.3946,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_14,14,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_14_hlist_0.75065.list,True,0,7013,7013,7013,7013,0.3946,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_14,14,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_14_hlist_1.00000.list,True,0,6724,6724,6724,6724,0.3946,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
