experiment_family,family_name,scientific_question,changed_variable,fixed_variables,comparison_quality,model,universes,top_n,normalization,graph_pooling,temporal_pooling,head_type,seeds,independent_seed_count,missing_seeds,mean_test_mae,std_test_mae,mean_test_rmse,std_test_rmse,mean_test_r2,std_test_r2,best_experiment,best_seed,best_test_mae,notebook_or_report,evidence_status,scientific_conclusion,remaining_uncertainty
knn_ablation,evolvegcn-h_u500_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp,Does changing k in kNN graph construction matter?,k,model=EvolveGCNHRegressor;universes=500;top_n=100;normalization=minmax;hidden_dim=32;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,controlled,EvolveGCNHRegressor,500,100,minmax,mean,mean,mlp,"123,2025",2,42,0.101385438492,0.00563079683396,0.118056320692,0.00426112550516,-0.0274642531828,0.00728048059316,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed123,123,0.0974038638671,,partial_seed_coverage,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
knn_ablation,evolvegcn-h_u500_top100_norm-minmax_h64_l2_gpool-mean_tpool-mean_head-mlp,Does changing k in kNN graph construction matter?,k,model=EvolveGCNHRegressor;universes=500;top_n=100;normalization=minmax;hidden_dim=64;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,controlled,EvolveGCNHRegressor,500,100,minmax,mean,mean,mlp,"42,123,2025",3,,0.0974526766605,0.0116089408691,0.113686251828,0.0118971058088,-0.0388369116352,0.0495764464342,evolvegcn_h_500u_k12_seed42,42,0.0858705474933,notebooks/visualization/04_knn_ablation_500u_h64_results.ipynb,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
knn_ablation,evolvegcn-h_u500_top100_norm-minmax_h64_l2_gpool-mean_tpool-mean_head-mlp,Does changing k in kNN graph construction matter?,k,model=EvolveGCNHRegressor;universes=500;top_n=100;normalization=minmax;hidden_dim=64;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,controlled,EvolveGCNHRegressor,500,100,minmax,mean,mean,mlp,"42,123,2025",3,,0.0977726910843,0.0117831120478,0.114218100066,0.0117484767895,-0.0487747089249,0.0472463999371,evolvegcn_h_500u_k4_seed42,42,0.0859798703591,notebooks/visualization/04_knn_ablation_500u_h64_results.ipynb,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
knn_ablation,evolvegcn-h_u500_top100_norm-minmax_h64_l2_gpool-mean_tpool-mean_head-mlp,Does changing k in kNN graph construction matter?,k,model=EvolveGCNHRegressor;universes=500;top_n=100;normalization=minmax;hidden_dim=64;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,controlled,EvolveGCNHRegressor,500,100,minmax,mean,mean,mlp,"42,123,2025",3,,0.0968952407771,0.00988580639381,0.113565489256,0.0101027704602,-0.0380604482171,0.0150551226205,evolvegcn_h_500u_k6_seed42,42,0.0866835004091,notebooks/visualization/04_knn_ablation_500u_h64_results.ipynb,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
knn_ablation,evolvegcn-h_u500_top100_norm-minmax_h64_l2_gpool-mean_tpool-mean_head-mlp,Does changing k in kNN graph construction matter?,k,model=EvolveGCNHRegressor;universes=500;top_n=100;normalization=minmax;hidden_dim=64;num_layers=2;graph_pooling=mean;temporal_pooling=mean;head_type=mlp,controlled,EvolveGCNHRegressor,500,100,minmax,mean,mean,mlp,"42,123,2025",3,,0.0965620176991,0.00995355722022,0.113073158768,0.010166645275,-0.0290030434209,0.017685434531,evolvegcn_h_500u_k8_h64_seed42,42,0.0863270888726,notebooks/visualization/04_knn_ablation_500u_h64_results.ipynb,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
knn_ablation,static-gcn_u500_top100_norm-minmax_h32_l3_gpool-mean_tpool-na_head-na,Does changing k in kNN graph construction matter?,k,model=StaticGCNRegressor;universes=500;top_n=100;normalization=minmax;hidden_dim=32;num_layers=3;graph_pooling=mean;temporal_pooling=;head_type=,controlled,StaticGCNRegressor,500,100,minmax,mean,,,"42,123,2025",3,,0.0954448503587,0.00878554726064,0.111544858969,0.00977214754344,-0.00159286100903,0.0117196424173,static_gcn_u500_top100_norm-minmax_k12_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,42,0.0858722704649,,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
knn_ablation,static-gcn_u500_top100_norm-minmax_h32_l3_gpool-mean_tpool-na_head-na,Does changing k in kNN graph construction matter?,k,model=StaticGCNRegressor;universes=500;top_n=100;normalization=minmax;hidden_dim=32;num_layers=3;graph_pooling=mean;temporal_pooling=;head_type=,controlled,StaticGCNRegressor,500,100,minmax,mean,,,"42,123,2025",3,,0.0958549307121,0.00877239827273,0.111668889079,0.00915315864595,-0.00444964629407,0.00369975006242,static_gcn_u500_top100_norm-minmax_k4_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,42,0.0863986243804,,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
knn_ablation,static-gcn_u500_top100_norm-minmax_h32_l3_gpool-mean_tpool-na_head-na,Does changing k in kNN graph construction matter?,k,model=StaticGCNRegressor;universes=500;top_n=100;normalization=minmax;hidden_dim=32;num_layers=3;graph_pooling=mean;temporal_pooling=;head_type=,controlled,StaticGCNRegressor,500,100,minmax,mean,,,"42,123,2025",3,,0.0950965201524,0.0082268351969,0.111295019994,0.00848903232841,0.0015714231039,0.0146202373981,static_gcn_u500_top100_norm-minmax_k6_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,42,0.0864241439104,,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
knn_ablation,static-gcn_u500_top100_norm-minmax_h32_l3_gpool-mean_tpool-na_head-na,Does changing k in kNN graph construction matter?,k,model=StaticGCNRegressor;universes=500;top_n=100;normalization=minmax;hidden_dim=32;num_layers=3;graph_pooling=mean;temporal_pooling=;head_type=,controlled,StaticGCNRegressor,500,100,minmax,mean,,,"42,123,2025",3,,0.0962624607815,0.00833995417582,0.112126543844,0.00853883003099,-0.0134157821165,0.0148487193007,static_gcn_u500_top100_norm-minmax_k8_h32_l3_gpool-mean_conv-gcn_batch8_factorial_seed42,42,0.0873396585385,,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
knn_ablation,static-gcn_u500_top100_norm-minmax_h64_l3_gpool-mean_tpool-na_head-na,Does changing k in kNN graph construction matter?,k,model=StaticGCNRegressor;universes=500;top_n=100;normalization=minmax;hidden_dim=64;num_layers=3;graph_pooling=mean;temporal_pooling=;head_type=,controlled,StaticGCNRegressor,500,100,minmax,mean,,,"42,123,2025",3,,0.0974326691031,0.0103854966901,0.11309377601,0.0106051976057,-0.0292191095094,0.0345198336256,static_gcn_500u_k12_seed42,42,0.0867423699299,notebooks/visualization/04_knn_ablation_500u_h64_results.ipynb,complete,See raw metrics; comparison requires matching sibling family rows.,Configs do not save git commit or exact command line.
