model,k,seed,experiment_name,experiment_path,dataset_path,dataset_metadata_path,hidden_dim,num_layers,batch_size,epochs,normalization,top_n,split_signature,artifact_status,compatibility,reusable,duplicate_status,test_mae,test_rmse,test_r2,test_pearson,target_std,prediction_std,prediction_std_ratio,repeated_prediction_fraction,metric_check,exact_incompatibility_reason
Static GCN,8,2025,static_gcn_500u_k8_h64_seed2025,experiments/static_gcn_500u_k8_h64_seed2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.metadata.json,64,3,8,300,minmax,100,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,5/5 complete,canonical_h64_compatible,yes,unique replacement not duplicate,0.104626878798,0.12088861028,-0.029530833553,-0.0552003601599,0.119944538532,0.0104613992903,0.0872186380331,0,pass,
Static GCN,12,42,static_gcn_500u_k12_seed42,experiments/static_gcn_500u_k12_seed42,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.metadata.json,64,3,8,300,minmax,100,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,5/5 complete,canonical_h64_compatible,yes,unique,0.0867423699299,0.102030170972,-0.0136133758844,-0.0683015602067,0.102025144782,0.0065761980138,0.064456639859,0,pass,
Static GCN,12,123,static_gcn_500u_k12_seed123,experiments/static_gcn_500u_k12_seed123,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.metadata.json,64,3,8,300,minmax,100,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,5/5 complete,canonical_h64_compatible,yes,unique,0.0980717939138,0.114079404432,-0.00525777127822,-0.0200738451133,0.1145468887,0.00630764390823,0.0550660430833,0.213333333333,pass,
Static GCN,12,2025,static_gcn_500u_k12_seed2025,experiments/static_gcn_500u_k12_seed2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.metadata.json,64,3,8,300,minmax,100,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,5/5 complete,canonical_h64_compatible,yes,unique,0.107483843466,0.123171752627,-0.0687861813657,-0.243248437365,0.119944538532,0.00638482374563,0.0532314670078,0,pass,
EvolveGCN-H,8,42,evolvegcn_h_500u_seed42_final32,experiments/evolvegcn_h_500u_seed42_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.metadata.json,32,2,4,300,minmax,100,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,5/5 complete,h32_k8_anchor_only,anchor only,unique protocol alternative,0.0865370577574,0.102059475214,-0.0141957024032,0.0209502912927,0.102025144782,0.00286514195127,0.0280827040959,0,pass,h32 has no matching k4 k6 or k12 rows
EvolveGCN-H,8,123,evolvegcn_h_500u_seed123_final32,experiments/evolvegcn_h_500u_seed123_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.metadata.json,32,2,4,300,minmax,100,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,5/5 complete,h32_k8_anchor_only,anchor only,unique protocol alternative,0.0992448200782,0.116757288411,-0.0530062511033,-0.117750601214,0.1145468887,0.0160303553914,0.13994579489,0,pass,h32 has no matching k4 k6 or k12 rows
EvolveGCN-H,8,2025,evolvegcn_h_500u_seed2025_final32,experiments/evolvegcn_h_500u_seed2025_final32,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.metadata.json,32,2,4,300,minmax,100,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,5/5 complete,h32_k8_anchor_only,anchor only,unique protocol alternative,0.10510393093,0.120907403376,-0.0298509559447,-0.00891044930092,0.119944538532,0.00247809553798,0.0206603449253,0,pass,h32 has no matching k4 k6 or k12 rows
Static GCN,8,42,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,experiments/static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.metadata.json,32,2,8,300,minmax,100,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,5/5 complete,h32_k8_anchor_only,anchor only,unique preferred h32 protocol,0.0871174607674,0.102016406766,-0.0133399147664,0.018855713383,0.102025144782,0.00777450056375,0.0762018086848,0.0266666666667,pass,h32 has no matching k4 k6 or k12 rows
Static GCN,8,123,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed123,experiments/static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed123,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.metadata.json,32,2,8,300,minmax,100,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,5/5 complete,h32_k8_anchor_only,anchor only,unique preferred h32 protocol,0.0973744130135,0.114488288115,-0.012476780112,0.0553051027258,0.1145468887,0.0205972257461,0.179814798811,0,pass,h32 has no matching k4 k6 or k12 rows
Static GCN,8,2025,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,experiments/static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.metadata.json,32,2,8,300,minmax,100,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,5/5 complete,h32_k8_anchor_only,anchor only,unique preferred h32 protocol,0.106156089604,0.12196673838,-0.0479761718976,-0.0903979575075,0.119944538532,0.00958859446817,0.0799419013614,0,pass,h32 has no matching k4 k6 or k12 rows
