path,seed,training_level,partition,count,minimum,maximum,mean,median,population_standard_deviation,q0.05,q0.25,q0.50,q0.75,q0.95
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train50.json,2025,Train50,validation,99,0.1038,0.4938,0.30342424242424243,0.3114,0.11849257666806044,0.11776,0.1918,0.3114,0.4058,0.46952
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train50.json,2025,Train50,test,201,0.1006,0.4986,0.30558109452736315,0.3146,0.12037758109649324,0.119,0.197,0.3146,0.4098,0.4818
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train50.json,2025,Train50,unused,650,0.1002,0.4998,0.29775753846153846,0.29400000000000004,0.11246319129838772,0.12416,0.2044,0.29400000000000004,0.3921,0.47842
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train100.json,2025,Train100,train,100,0.1054,0.4998,0.295808,0.2904,0.12109853151875954,0.1149,0.1927,0.2904,0.40869999999999995,0.48782
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train100.json,2025,Train100,validation,99,0.1038,0.4938,0.30342424242424243,0.3114,0.11849257666806044,0.11776,0.1918,0.3114,0.4058,0.46952
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train100.json,2025,Train100,test,201,0.1006,0.4986,0.30558109452736315,0.3146,0.12037758109649324,0.119,0.197,0.3146,0.4098,0.4818
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train100.json,2025,Train100,unused,600,0.1002,0.4994,0.29826400000000003,0.2944,0.1121991950535594,0.12498000000000001,0.20479999999999998,0.2944,0.3919,0.47862
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train200.json,2025,Train200,train,200,0.1054,0.4998,0.31319800000000003,0.318,0.11740036795513036,0.12324,0.2089,0.318,0.4171,0.48357999999999995
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train200.json,2025,Train200,validation,99,0.1038,0.4938,0.30342424242424243,0.3114,0.11849257666806044,0.11776,0.1918,0.3114,0.4058,0.46952
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train200.json,2025,Train200,test,201,0.1006,0.4986,0.30558109452736315,0.3146,0.12037758109649324,0.119,0.197,0.3146,0.4098,0.4818
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train200.json,2025,Train200,unused,500,0.1002,0.4994,0.2917992,0.28500000000000003,0.11133924087831747,0.12368,0.1992,0.28500000000000003,0.38160000000000005,0.47744
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train450.json,2025,Train450,train,450,0.101,0.4998,0.30092444444444444,0.2996,0.11135776968463315,0.12434,0.20790000000000003,0.2996,0.3957,0.47641999999999995
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train450.json,2025,Train450,validation,99,0.1038,0.4938,0.30342424242424243,0.3114,0.11849257666806044,0.11776,0.1918,0.3114,0.4058,0.46952
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train450.json,2025,Train450,test,201,0.1006,0.4986,0.30558109452736315,0.3146,0.12037758109649324,0.119,0.197,0.3146,0.4098,0.4818
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train450.json,2025,Train450,unused,250,0.1002,0.4982,0.2924928,0.2858,0.11710719340911557,0.11862,0.1948,0.2858,0.39039999999999997,0.48482
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train700.json,2025,Train700,train,700,0.1002,0.4998,0.2979131428571428,0.2944,0.11351650653467422,0.1233,0.2029,0.2944,0.3951,0.47981999999999997
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train700.json,2025,Train700,validation,99,0.1038,0.4938,0.30342424242424243,0.3114,0.11849257666806044,0.11776,0.1918,0.3114,0.4058,0.46952
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train700.json,2025,Train700,test,201,0.1006,0.4986,0.30558109452736315,0.3146,0.12037758109649324,0.119,0.197,0.3146,0.4098,0.4818
configs/splits/u1000_top1000_none_k8_sparse/seed2025_train700.json,2025,Train700,unused,0,,,,,,,,,,
