universe_id,universe_index,snapshot,path,status,error,raw_halo_count,valid_real_halo_count,at_least_1500,padded_slots_top1500,padded_slot_percentage
LH_10,10,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_0.20000.list,PASS,,2838,2838,True,0,0.0
LH_10,10,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_0.25000.list,PASS,,4195,4195,True,0,0.0
LH_10,10,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_0.51209.list,PASS,,6131,6131,True,0,0.0
LH_10,10,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_0.75065.list,PASS,,5996,5996,True,0,0.0
LH_10,10,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_10_hlist_1.00000.list,PASS,,6316,6316,True,0,0.0
LH_11,11,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_0.20000.list,PASS,,7579,7579,True,0,0.0
LH_11,11,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_0.25000.list,PASS,,8614,8614,True,0,0.0
LH_11,11,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_0.51209.list,PASS,,8190,8190,True,0,0.0
LH_11,11,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_0.75065.list,PASS,,7004,7004,True,0,0.0
LH_11,11,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_11_hlist_1.00000.list,PASS,,6553,6553,True,0,0.0
LH_12,12,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_0.20000.list,PASS,,2268,2268,True,0,0.0
LH_12,12,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_0.25000.list,PASS,,4041,4041,True,0,0.0
LH_12,12,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_0.51209.list,PASS,,7578,7578,True,0,0.0
LH_12,12,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_0.75065.list,PASS,,7320,7320,True,0,0.0
LH_12,12,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_12_hlist_1.00000.list,PASS,,7525,7525,True,0,0.0
LH_13,13,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_13_hlist_0.20000.list,PASS,,2803,2803,True,0,0.0
LH_13,13,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_13_hlist_0.25000.list,PASS,,4443,4443,True,0,0.0
LH_13,13,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_13_hlist_0.51209.list,PASS,,7251,7251,True,0,0.0
