universe_id,omega_m_0.20000,omega_m_0.25000,omega_m_0.51209,omega_m_0.75065,omega_m_1.00000,minimum,maximum,spread,consistent,catalogues_checked,header_key
LH_123,0.29459999999999997,0.29459999999999997,0.29459999999999997,0.29459999999999997,0.29459999999999997,0.29459999999999997,0.29459999999999997,0,True,5,Omega_M
LH_124,0.39419999999999999,0.39419999999999999,0.39419999999999999,0.39419999999999999,0.39419999999999999,0.39419999999999999,0.39419999999999999,0,True,5,Omega_M
LH_125,0.41020000000000001,0.41020000000000001,0.41020000000000001,0.41020000000000001,0.41020000000000001,0.41020000000000001,0.41020000000000001,0,True,5,Omega_M
LH_126,0.35139999999999999,0.35139999999999999,0.35139999999999999,0.35139999999999999,0.35139999999999999,0.35139999999999999,0.35139999999999999,0,True,5,Omega_M
LH_127,0.14419999999999999,0.14419999999999999,0.14419999999999999,0.14419999999999999,0.14419999999999999,0.14419999999999999,0.14419999999999999,0,True,5,Omega_M
LH_128,0.15820000000000001,0.15820000000000001,0.15820000000000001,0.15820000000000001,0.15820000000000001,0.15820000000000001,0.15820000000000001,0,True,5,Omega_M
LH_129,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0,True,5,Omega_M
LH_130,0.43659999999999999,0.43659999999999999,0.43659999999999999,0.43659999999999999,0.43659999999999999,0.43659999999999999,0.43659999999999999,0,True,5,Omega_M
LH_131,0.40860000000000002,0.40860000000000002,0.40860000000000002,0.40860000000000002,0.40860000000000002,0.40860000000000002,0.40860000000000002,0,True,5,Omega_M
LH_132,0.1542,0.1542,0.1542,0.1542,0.1542,0.1542,0.1542,0,True,5,Omega_M
LH_133,0.1046,0.1046,0.1046,0.1046,0.1046,0.1046,0.1046,0,True,5,Omega_M
LH_134,0.32900000000000001,0.32900000000000001,0.32900000000000001,0.32900000000000001,0.32900000000000001,0.32900000000000001,0.32900000000000001,0,True,5,Omega_M
LH_135,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0,True,5,Omega_M
LH_136,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0.2034,0,True,5,Omega_M
LH_137,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0,True,5,Omega_M
LH_138,0.39739999999999998,0.39739999999999998,0.39739999999999998,0.39739999999999998,0.39739999999999998,0.39739999999999998,0.39739999999999998,0,True,5,Omega_M
LH_139,0.41820000000000002,0.41820000000000002,0.41820000000000002,0.41820000000000002,0.41820000000000002,0.41820000000000002,0.41820000000000002,0,True,5,Omega_M
LH_140,0.37259999999999999,0.37259999999999999,0.37259999999999999,0.37259999999999999,0.37259999999999999,0.37259999999999999,0.37259999999999999,0,True,5,Omega_M
LH_141,0.3322,0.3322,0.3322,0.3322,0.3322,0.3322,0.3322,0,True,5,Omega_M
LH_142,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0,True,5,Omega_M
LH_143,0.36699999999999999,0.36699999999999999,0.36699999999999999,0.36699999999999999,0.36699999999999999,0.36699999999999999,0.36699999999999999,0,True,5,Omega_M
LH_144,0.21099999999999999,0.21099999999999999,0.21099999999999999,0.21099999999999999,0.21099999999999999,0.21099999999999999,0.21099999999999999,0,True,5,Omega_M
LH_145,0.12180000000000001,0.12180000000000001,0.12180000000000001,0.12180000000000001,0.12180000000000001,0.12180000000000001,0.12180000000000001,0,True,5,Omega_M
LH_146,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0.2898,0,True,5,Omega_M
LH_147,0.35020000000000001,0.35020000000000001,0.35020000000000001,0.35020000000000001,0.35020000000000001,0.35020000000000001,0.35020000000000001,0,True,5,Omega_M
LH_148,0.46500000000000002,0.46500000000000002,0.46500000000000002,0.46500000000000002,0.46500000000000002,0.46500000000000002,0.46500000000000002,0,True,5,Omega_M
LH_149,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0,True,5,Omega_M
LH_150,0.33660000000000001,0.33660000000000001,0.33660000000000001,0.33660000000000001,0.33660000000000001,0.33660000000000001,0.33660000000000001,0,True,5,Omega_M
LH_151,0.48220000000000002,0.48220000000000002,0.48220000000000002,0.48220000000000002,0.48220000000000002,0.48220000000000002,0.48220000000000002,0,True,5,Omega_M
LH_152,0.43140000000000001,0.43140000000000001,0.43140000000000001,0.43140000000000001,0.43140000000000001,0.43140000000000001,0.43140000000000001,0,True,5,Omega_M
LH_153,0.1522,0.1522,0.1522,0.1522,0.1522,0.1522,0.1522,0,True,5,Omega_M
LH_154,0.41420000000000001,0.41420000000000001,0.41420000000000001,0.41420000000000001,0.41420000000000001,0.41420000000000001,0.41420000000000001,0,True,5,Omega_M
LH_155,0.28660000000000002,0.28660000000000002,0.28660000000000002,0.28660000000000002,0.28660000000000002,0.28660000000000002,0.28660000000000002,0,True,5,Omega_M
LH_156,0.16700000000000001,0.16700000000000001,0.16700000000000001,0.16700000000000001,0.16700000000000001,0.16700000000000001,0.16700000000000001,0,True,5,Omega_M
LH_157,0.22020000000000001,0.22020000000000001,0.22020000000000001,0.22020000000000001,0.22020000000000001,0.22020000000000001,0.22020000000000001,0,True,5,Omega_M
LH_158,0.29420000000000002,0.29420000000000002,0.29420000000000002,0.29420000000000002,0.29420000000000002,0.29420000000000002,0.29420000000000002,0,True,5,Omega_M
LH_159,0.2878,0.2878,0.2878,0.2878,0.2878,0.2878,0.2878,0,True,5,Omega_M
LH_160,0.31259999999999999,0.31259999999999999,0.31259999999999999,0.31259999999999999,0.31259999999999999,0.31259999999999999,0.31259999999999999,0,True,5,Omega_M
LH_161,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042,0,True,5,Omega_M
LH_162,0.4738,0.4738,0.4738,0.4738,0.4738,0.4738,0.4738,0,True,5,Omega_M
LH_163,0.23419999999999999,0.23419999999999999,0.23419999999999999,0.23419999999999999,0.23419999999999999,0.23419999999999999,0.23419999999999999,0,True,5,Omega_M
LH_164,0.2094,0.2094,0.2094,0.2094,0.2094,0.2094,0.2094,0,True,5,Omega_M
LH_165,0.4214,0.4214,0.4214,0.4214,0.4214,0.4214,0.4214,0,True,5,Omega_M
LH_166,0.16900000000000001,0.16900000000000001,0.16900000000000001,0.16900000000000001,0.16900000000000001,0.16900000000000001,0.16900000000000001,0,True,5,Omega_M
LH_167,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0,True,5,Omega_M
LH_168,0.11260000000000001,0.11260000000000001,0.11260000000000001,0.11260000000000001,0.11260000000000001,0.11260000000000001,0.11260000000000001,0,True,5,Omega_M
LH_169,0.44019999999999998,0.44019999999999998,0.44019999999999998,0.44019999999999998,0.44019999999999998,0.44019999999999998,0.44019999999999998,0,True,5,Omega_M
LH_170,0.35580000000000001,0.35580000000000001,0.35580000000000001,0.35580000000000001,0.35580000000000001,0.35580000000000001,0.35580000000000001,0,True,5,Omega_M
LH_171,0.23300000000000001,0.23300000000000001,0.23300000000000001,0.23300000000000001,0.23300000000000001,0.23300000000000001,0.23300000000000001,0,True,5,Omega_M
LH_172,0.39019999999999999,0.39019999999999999,0.39019999999999999,0.39019999999999999,0.39019999999999999,0.39019999999999999,0.39019999999999999,0,True,5,Omega_M
LH_173,0.43780000000000002,0.43780000000000002,0.43780000000000002,0.43780000000000002,0.43780000000000002,0.43780000000000002,0.43780000000000002,0,True,5,Omega_M
LH_174,0.43020000000000003,0.43020000000000003,0.43020000000000003,0.43020000000000003,0.43020000000000003,0.43020000000000003,0.43020000000000003,0,True,5,Omega_M
LH_175,0.38500000000000001,0.38500000000000001,0.38500000000000001,0.38500000000000001,0.38500000000000001,0.38500000000000001,0.38500000000000001,0,True,5,Omega_M
LH_176,0.23499999999999999,0.23499999999999999,0.23499999999999999,0.23499999999999999,0.23499999999999999,0.23499999999999999,0.23499999999999999,0,True,5,Omega_M
