universe_id,target,logm_mean,logm_std,logm_min,logm_max,logm_median,x_std,y_std,z_std,position_spread,vx_mean,vy_mean,vz_mean,vx_std,vy_std,vz_std,velocity_spread,velocity_norm_mean,velocity_norm_std
LH_39,0.31779998540878296,0.21366264,0.2037929,0.0,1.0,0.14611545,0.36712602,0.30899417,0.26817206,0.3147641,0.51680684,0.47329646,0.61366683,0.1889449,0.14594795,0.14029694,0.15839659,0.9619748,0.13774857
LH_40,0.27379998564720154,0.23558901,0.21213622,0.0,1.0,0.18370587,0.32176813,0.36148992,0.28106368,0.32144058,0.5829986,0.4225134,0.5079213,0.17391199,0.16730718,0.166959,0.16939275,0.9145487,0.16156107
LH_41,0.41940000653266907,0.24245024,0.21621212,0.0,1.0,0.17386273,0.2757989,0.27322486,0.2868645,0.27862942,0.50571626,0.48413494,0.5077386,0.13840547,0.206644,0.14256153,0.16253702,0.8920173,0.18552762
LH_42,0.11219999939203262,0.2901353,0.23316565,0.0,1.0,0.25856686,0.25334582,0.27061018,0.3331184,0.28569147,0.5229783,0.62278265,0.66963696,0.20962708,0.21098936,0.16219565,0.19427072,1.0884349,0.1996371
LH_43,0.18459999561309814,0.22976542,0.20875344,0.0,1.0,0.16981593,0.27189517,0.24767779,0.24989246,0.25648847,0.371706,0.46807185,0.48435834,0.1445151,0.1479677,0.13191247,0.14146508,0.7937502,0.14832404
LH_44,0.2962000072002411,0.2525121,0.23868078,0.0,1.0,0.19254497,0.27749255,0.34682858,0.29177445,0.30536518,0.50926906,0.58446485,0.5112349,0.15401803,0.1800958,0.18842368,0.17417915,0.9650072,0.15078393
LH_45,0.3181999921798706,0.22811006,0.2116964,0.0,1.0,0.14364828,0.24405386,0.34180707,0.29489747,0.2935861,0.49062267,0.59069806,0.5844646,0.18833937,0.16021958,0.17946756,0.17600884,0.9973919,0.1726084
LH_46,0.33500000834465027,0.22990131,0.21524593,0.0,1.0,0.15901235,0.2876189,0.29891998,0.24901468,0.27851784,0.71774375,0.6599291,0.70658517,0.14920163,0.17038877,0.1251745,0.14825498,1.2246673,0.130678
LH_47,0.4189999997615814,0.23960395,0.22126777,0.0,1.0,0.17441429,0.30681026,0.30052432,0.28631544,0.29788336,0.6337085,0.37544328,0.34540236,0.15827364,0.13891983,0.12806329,0.14175224,0.8362865,0.15238537
LH_48,0.4765999913215637,0.27522326,0.25998285,0.0,1.0,0.1905941,0.30900615,0.30329388,0.30879703,0.30703235,0.4624999,0.62472934,0.48097178,0.11987589,0.18608856,0.19364867,0.16653772,0.9441547,0.17492175
LH_49,0.22779999673366547,0.20661253,0.20875292,0.0,1.0,0.13038811,0.2485251,0.30370167,0.28033698,0.27752125,0.57213116,0.3869627,0.3536009,0.18155897,0.17618032,0.1755056,0.17774828,0.8136864,0.18662217
