model,k,seed,experiment_name,experiment_path,split_signature,test_mae,test_rmse,test_r2,test_pearson,target_mean,prediction_mean,target_std,prediction_std,prediction_std_ratio,repeated_prediction_fraction,best_epoch
EvolveGCN-H,12,123,evolvegcn_h_500u_k12_seed123,experiments/evolvegcn_h_500u_k12_seed123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.09739923775196076,0.11582858454243179,-0.03632135387340352,-0.0987009674611756,0.29364533245563507,0.29061044573783873,0.11454688870034196,0.013087967590983213,0.11425860396105321,0.0,4
EvolveGCN-H,12,2025,evolvegcn_h_500u_k12_seed2025,experiments/evolvegcn_h_500u_k12_seed2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.1090882447361946,0.12436663577420036,-0.0896232481157575,-0.021266783129378793,0.29471200038989387,0.326604262193044,0.11994453853216079,0.013728836074593203,0.11445986822411329,0.0,5
Static GCN,4,42,static_gcn_500u_k4_seed42,experiments/static_gcn_500u_k4_seed42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08643142441908519,0.10168732076272338,-0.00681276630057881,-0.0880530546510558,0.2916933327913284,0.29904810547828675,0.10202514478236673,0.0008549127368865164,0.008379431744107392,0.96,40
Static GCN,4,123,static_gcn_500u_k4_seed123,experiments/static_gcn_500u_k4_seed123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626,0.29364533245563507,0.29746501127878827,0.11454688870034196,0.006477470477351244,0.05654863742564408,0.7333333333333333,30
Static GCN,4,2025,static_gcn_500u_k4_seed2025,experiments/static_gcn_500u_k4_seed2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.10756154686212539,0.12486939203852315,-0.09845073131228355,-0.21277351840585995,0.29471200038989387,0.3100443645318349,0.11994453853216079,0.01725098750008592,0.14382470190971142,0.0,3
Static GCN,6,42,static_gcn_500u_k6_seed42,experiments/static_gcn_500u_k6_seed42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08689590434233348,0.10198262867093437,-0.012668982978197185,-0.06255869616838029,0.2916933327913284,0.2953781529267629,0.10202514478236673,0.006220962526953922,0.060974797342596934,0.16,21
Static GCN,6,123,static_gcn_500u_k6_seed123,experiments/static_gcn_500u_k6_seed123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.09805974860986073,0.11404794841738845,-0.004703472397888486,-0.04742252192991157,0.29364533245563507,0.2983710062503815,0.11454688870034196,0.002849695306741807,0.024877980878177268,0.68,70
Static GCN,6,2025,static_gcn_500u_k6_seed2025,experiments/static_gcn_500u_k6_seed2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.10533858170111975,0.12098114078995743,-0.031107482840461165,0.02197038941822335,0.29471200038989387,0.315550537109375,0.11994453853216079,0.006425403587148455,0.05356978871885533,0.0,23
Static GCN,8,42,static_gcn_500u_k8_h64_seed42,experiments/static_gcn_500u_k8_h64_seed42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08651282290617625,0.10176990792465859,-0.008448832117661453,-0.1226299445683225,0.2916933327913284,0.300525563955307,0.10202514478236673,0.0003500809841433801,0.003431320630714611,0.9733333333333334,20
Static GCN,8,123,static_gcn_500u_k8_h64_seed123,experiments/static_gcn_500u_k8_h64_seed123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.09774443527062734,0.11451923878624852,-0.013024278412259394,-0.023024760096730715,0.29364533245563507,0.2865687867005666,0.11454688870034196,0.00863614541723967,0.07539397634650803,0.7866666666666666,15
Static GCN,8,2025,static_gcn_500u_k8_h64_seed2025,experiments/static_gcn_500u_k8_h64_seed2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.10462687879800797,0.12088861028048917,-0.029530833553015112,-0.05520036015987222,0.29471200038989387,0.30792268792788186,0.11994453853216079,0.01046139929028921,0.08721863803314554,0.0,13
Static GCN,12,42,static_gcn_500u_k12_seed42,experiments/static_gcn_500u_k12_seed42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08674236992994944,0.10203017097183326,-0.01361337588441014,-0.06830156020673457,0.2916933327913284,0.29428449591000877,0.10202514478236673,0.006576198013801296,0.06445663985901913,0.0,6
Static GCN,12,123,static_gcn_500u_k12_seed123,experiments/static_gcn_500u_k12_seed123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.09807179391384124,0.11407940443154262,-0.005257771278217138,-0.020073845113325158,0.29364533245563507,0.29320867935816447,0.11454688870034196,0.0063076439082336575,0.0550660430833232,0.21333333333333335,28
Static GCN,12,2025,static_gcn_500u_k12_seed2025,experiments/static_gcn_500u_k12_seed2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.10748384346564611,0.1231717526265979,-0.06878618136568049,-0.24324843736454177,0.29471200038989387,0.31855701526006064,0.11994453853216079,0.006384823745634706,0.05323146700775159,0.0,13
