model,head_type,seed,target,prediction,residual,plotted_y,test_mae,test_rmse,test_r2,test_pearson
EvolveGCN-H,linear,123,0.2282000035047531,0.23384150862693787,0.005641505122184753,0.23384150862693787,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3630000054836273,0.6291370987892151,0.26613709330558777,0.6291370987892151,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.13300000131130219,0.10741741955280304,-0.025582581758499146,0.10741741955280304,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.49219998717308044,0.4644092321395874,-0.027790755033493042,0.4644092321395874,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.38420000672340393,0.3257313370704651,-0.05846866965293884,0.3257313370704651,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.16580000519752502,0.1564185917377472,-0.009381413459777832,0.1564185917377472,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.38100001215934753,0.5332719087600708,0.15227189660072327,0.5332719087600708,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.14020000398159027,0.26774463057518005,0.12754462659358978,0.26774463057518005,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3578000068664551,0.4089219570159912,0.05112195014953613,0.4089219570159912,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.23019999265670776,0.2585897147655487,0.028389722108840942,0.2585897147655487,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.13779999315738678,0.17063185572624207,0.032831862568855286,0.17063185572624207,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3781999945640564,0.42945975065231323,0.051259756088256836,0.42945975065231323,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.19699999690055847,0.23821693658828735,0.04121693968772888,0.23821693658828735,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3253999948501587,0.33505499362945557,0.009654998779296875,0.33505499362945557,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.10939999669790268,0.19210250675678253,0.08270251005887985,0.19210250675678253,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4302000105381012,0.31263262033462524,-0.11756739020347595,0.31263262033462524,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.29260000586509705,0.3424602150917053,0.049860209226608276,0.3424602150917053,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.12939999997615814,0.1080220490694046,-0.02137795090675354,0.1080220490694046,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.2637999951839447,0.3424215614795685,0.07862156629562378,0.3424215614795685,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.15139999985694885,0.27358508110046387,0.12218508124351501,0.27358508110046387,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.44179999828338623,0.36616188287734985,-0.07563811540603638,0.36616188287734985,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.2513999938964844,0.334206223487854,0.08280622959136963,0.334206223487854,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
